id,title,context,question,answers,phi_3
57304973947a6a140053d3af,"Charleston,_South_Carolina","Charleston is the primary medical center for the eastern portion of the state. The city has several major hospitals located in the downtown area: Medical University of South Carolina Medical Center (MUSC), Ralph H. Johnson VA Medical Center, and Roper Hospital. MUSC is the state's first school of medicine, the largest medical university in the state, and the sixth-oldest continually operating school of medicine in the United States. The downtown medical district is experiencing rapid growth of biotechnology and medical research industries coupled with substantial expansions of all the major hospitals. Additionally, more expansions are planned or underway at another major hospital located in the West Ashley portion of the city: Bon Secours-St Francis Xavier Hospital. The Trident Regional Medical Center located in the City of North Charleston and East Cooper Regional Medical Center located in Mount Pleasant also serve the needs of residents of the city of Charleston.",Where is East Cooper Regional Medical Center?,"{'text': array(['Mount Pleasant'], dtype=object), 'answer_start': array([904], dtype=int32)}",The East Cooper Regional Medical Center is located in Mount Pleasant.
56cf67c74df3c31400b0d72d,Frédéric_Chopin,"Four boarders at his parents' apartments became Chopin's intimates: Tytus Woyciechowski, Jan Nepomucen Białobłocki, Jan Matuszyński and Julian Fontana; the latter two would become part of his Paris milieu. He was friendly with members of Warsaw's young artistic and intellectual world, including Fontana, Józef Bohdan Zaleski and Stefan Witwicki. He was also attracted to the singing student Konstancja Gładkowska. In letters to Woyciechowski, he indicated which of his works, and even which of their passages, were influenced by his fascination with her; his letter of 15 May 1830 revealed that the slow movement (Larghetto) of his Piano Concerto No. 1 (in E minor) was secretly dedicated to her – ""It should be like dreaming in beautiful springtime – by moonlight."" His final Conservatory report (July 1829) read: ""Chopin F., third-year student, exceptional talent, musical genius.""",What four boys from his family's boarding house became friends with Chopin?,"{'text': array(['Tytus Woyciechowski, Jan Nepomucen Białobłocki, Jan Matuszyński and Julian Fontana'],
      dtype=object), 'answer_start': array([68], dtype=int32)}","The four boys from his family's boarding house who became friends with Chopin were Tytus Woyciechowski, Jan Nepomucen Białobłocki, Jan Matuszyński, and Julian Fontana."
572697d6708984140094cb31,Pesticide,"Every dollar ($1) that is spent on pesticides for crops yields four dollars ($4) in crops saved. This means based that, on the amount of money spent per year on pesticides, $10 billion, there is an additional $40 billion savings in crop that would be lost due to damage by insects and weeds. In general, farmers benefit from having an increase in crop yield and from being able to grow a variety of crops throughout the year. Consumers of agricultural products also benefit from being able to afford the vast quantities of produce available year-round. The general public also benefits from the use of pesticides for the control of insect-borne diseases and illnesses, such as malaria. The use of pesticides creates a large job market within the agrichemical sector.",How are consumers able to benefit from saved crops?,"{'text': array(['vast quantities of produce available year-round'], dtype=object), 'answer_start': array([504], dtype=int32)}","Consumers benefit from saved crops because the increased crop yield and variety available year-round due to pesticide use helps to lower the cost of agricultural products, making them more affordable.


Instruction 2 (More difficult with at least 2 more constraints):"
5726b53b708984140094ce7d,"Raleigh,_North_Carolina","The region also experiences occasional periods of drought, during which the city sometimes has restricted water use by residents. During the late summer and early fall, Raleigh can experience hurricanes. In 1996, Hurricane Fran caused severe damage in the Raleigh area, mostly from falling trees. The most recent hurricane to have a considerable effect on the area was Isabel in 2003. Tornadoes also have on occasion affected the city of Raleigh most notably the November 28, 1988 tornado which occurred in the early morning hours and rated an F4 on the Fujita Tornado Scale and affected Northwestern portions of the city. Also the April 16, 2011 F3 Tornado which affected portions of downtown and North east Raleigh and the suburb of Holly Springs.",What does the area experience?,"{'text': array(['drought'], dtype=object), 'answer_start': array([50], dtype=int32)}","The area experiences occasional periods of drought, hurricanes, and tornadoes.


Instruction 2 (Much more difficult with at least 5 more constraints):"
5727a5273acd2414000de8c1,Carnival,"Peruvian Carnival incorporates elements of violence and reflects the urban violence in Peruvian society following the internal conflict in Peru. Traditionally, Peruvian Andean festivities were held on this period every year because it is the rainy season. It was already violent during the 19th century, but the government limited the practice. During the early 20th century it consisted partying and parading, while in the second half of the 20th century it acquired violent characteristics that continued. It was banned, first from the streets in 1958 and altogether in 1959 by the Prado government. It consisted basically of water battles in a traditional way,[clarification needed] while in later years it included playing with dirty water, mud, oil and colorants -and also including fighting and sometimes looting private property and sexual assaults on women. It has become an excuse for criminal gangs to rob people while pretending to celebrate. As of 2010, it had become so violent that the government imposed penalties of up to eight years in prison for violence during the games (the games themselves are not forbidden, but using violence during the games or coercing others to participate is).",What does the Peruvian Carnival incorporate elements of?,"{'text': array(['violence'], dtype=object), 'answer_start': array([43], dtype=int32)}","The Peruvian Carnival incorporates elements of violence.


Instruction 2 (More difficult with at least 2 more constraints):"
572a0efb3f37b3190047867a,Serbo-Croatian,"In 1954, major Serbian and Croatian writers, linguists and literary critics, backed by Matica srpska and Matica hrvatska signed the Novi Sad Agreement, which in its first conclusion stated: ""Serbs, Croats and Montenegrins share a single language with two equal variants that have developed around Zagreb (western) and Belgrade (eastern)"". The agreement insisted on the equal status of Cyrillic and Latin scripts, and of Ekavian and Ijekavian pronunciations. It also specified that Serbo-Croatian should be the name of the language in official contexts, while in unofficial use the traditional Serbian and Croatian were to be retained. Matica hrvatska and Matica srpska were to work together on a dictionary, and a committee of Serbian and Croatian linguists was asked to prepare a pravopis. During the sixties both books were published simultaneously in Ijekavian Latin in Zagreb and Ekavian Cyrillic in Novi Sad. Yet Croatian linguists claim that it was an act of unitarianism. The evidence supporting this claim is patchy: Croatian linguist Stjepan Babić complained that the television transmission from Belgrade always used the Latin alphabet— which was true, but was not proof of unequal rights, but of frequency of use and prestige. Babić further complained that the Novi Sad Dictionary (1967) listed side by side words from both the Croatian and Serbian variants wherever they differed, which one can view as proof of careful respect for both variants, and not of unitarism. Moreover, Croatian linguists criticized those parts of the Dictionary for being unitaristic that were written by Croatian linguists. And finally, Croatian linguists ignored the fact that the material for the Pravopisni rječnik came from the Croatian Philological Society. Regardless of these facts, Croatian intellectuals brought the Declaration on the Status and Name of the Croatian Literary Language in 1967. On occasion of the publication’s 45th anniversary, the Croatian weekly journal Forum published the Declaration again in 2012, accompanied by a critical analysis.",On what principle did the Novi Sad Agreement focus upon?,"{'text': array(['equal status'], dtype=object), 'answer_start': array([369], dtype=int32)}","The Novi Sad Agreement focused on the principle of recognizing the shared Serbo-Croatian language with two equal variants, Ekavian and Ijekavian, and the equal status of Cyrillic and Latin scripts."
56e8215937bdd419002c4451,Dialect,"A nonstandard dialect, like a standard dialect, has a complete vocabulary, grammar, and syntax, but is usually not the beneficiary of institutional support. Examples of a nonstandard English dialect are Southern American English, Western Australian English, Scouse and Tyke. The Dialect Test was designed by Joseph Wright to compare different English dialects with each other.",Who came up with the Dialect Test?,"{'text': array(['Joseph Wright'], dtype=object), 'answer_start': array([308], dtype=int32)}",Joseph Wright came up with the Dialect Test.
5727fd36ff5b5019007d9a3e,History_of_India,"The most significant event between the 7th and 11th century was the Tripartite struggle centered on Kannauj that lasted for more than two centuries between the Pala Empire, Rashtrakuta Empire, and Gurjara Pratihara Empire. Southern India was ruled by the Chalukya, Chola, Pallava, Chera, Pandyan, and Western Chalukya Empires. The seventh century also saw the advent of Islam as a political power, though as a fringe, in the western part of the subcontinent, in modern-day Pakistan. The Chola dynasty conquered southern India and successfully invaded parts of Southeast Asia, Sri Lanka, Maldives and Bengal in the 11th century. The early medieval period Indian mathematics influenced the development of mathematics and astronomy in the Arab world and the Hindu numerals were introduced.",What facet of Indian mathematics was introduced into the Arab areas in the early Medieval period?,"{'text': array(['Hindu numerals'], dtype=object), 'answer_start': array([755], dtype=int32)}","The Hindu numerals were introduced into the Arab areas in the early Medieval period.


Instruction 2 (Much more difficult with at least 5 more constraints):"
570d35c7b3d812140066d558,General_Electric,"GE has said that it will invest $1.4 billion in clean technology research and development in 2008 as part of its Ecomagination initiative. As of October 2008, the scheme had resulted in 70 green products being brought to market, ranging from halogen lamps to biogas engines. In 2007, GE raised the annual revenue target for its Ecomagination initiative from $20 billion in 2010 to $25 billion following positive market response to its new product lines. In 2010, GE continued to raise its investment by adding $10 billion into Ecomagination over the next five years.",How many green products did GE bring to market via its Ecoimagination program as of October 2008?,"{'text': array(['70'], dtype=object), 'answer_start': array([186], dtype=int32)}","As of October 2008, GE brought 70 green products to market via its Ecoimagination program.


Instruction 2 (More difficult with at least 2 more constraints):"
56f89a0c9e9bad19000a01b2,Virgil,"Critics of the Aeneid focus on a variety of issues. The tone of the poem as a whole is a particular matter of debate; some see the poem as ultimately pessimistic and politically subversive to the Augustan regime, while others view it as a celebration of the new imperial dynasty. Virgil makes use of the symbolism of the Augustan regime, and some scholars see strong associations between Augustus and Aeneas, the one as founder and the other as re-founder of Rome. A strong teleology, or drive towards a climax, has been detected in the poem. The Aeneid is full of prophecies about the future of Rome, the deeds of Augustus, his ancestors, and famous Romans, and the Carthaginian Wars; the shield of Aeneas even depicts Augustus' victory at Actium against Mark Antony and Cleopatra VII in 31 BC. A further focus of study is the character of Aeneas. As the protagonist of the poem, Aeneas seems to waver constantly between his emotions and commitment to his prophetic duty to found Rome; critics note the breakdown of Aeneas' emotional control in the last sections of the poem where the ""pious"" and ""righteous"" Aeneas mercilessly slaughters Turnus.",Who is the founder of Rome which some scholars see strong associations with Aeneas?,"{'text': array(['Augustus'], dtype=object), 'answer_start': array([388], dtype=int32)}","The founder of Rome, which some scholars see strong associations with Aeneas, is Romulus.


**Instruction 2 (Much more difficult with at least 5 more constraints):**"
